Details,Posting Date,Description,Amount,Type,Balance,Check or Slip #
DEBIT,02/04/2026,"ONLINE TRANSFER TO CHK ...0068 TRANSACTION#: 27944033471 02/04",-50.00,ACCT_XFER, ,,
CREDIT,02/04/2026,"ORIG CO NAME:STRIPE           CO ENTRY DESCR:TRANSFER   SEC:CCD IND ID:ST-E0E1R6V0P2O3 ORIG ID:1800948598",76.80,ACH_CREDIT, ,,
DEBIT,02/04/2026,"POS DEBIT                LEMLIST                  +33176340069                                                                                                                                                                                                                                                                            2883",-6.36,MISC_DEBIT, ,,
DEBIT,02/04/2026,"POS DEBIT                LEMLIST                   +33176340069                                                                                                                                                                                                                                                                           2883",-5.34,MISC_DEBIT, ,,
DEBIT,02/04/2026,"POS DEBIT                LEMLIST                   +33176340069                                                                                                                                                                                                                                                                           2883",-29.00,MISC_DEBIT, ,,
CREDIT,02/03/2026,"ORIG CO NAME:STRIPE                 ORIG ID:1800948598 DESC DATE:       CO ENTRY DESCR:TRANSFER  SEC:CCD    TRACE#:091000017505627 EED:260203   IND ID:ST-B2A4U3X7E3L5              IND NAME:MARK GUNDRUM TRN: 0347505627TC",384.50,ACH_CREDIT,1742.24,,
DEBIT,02/02/2026,"Online Transfer to CHK ...0068 transaction#: 27922918958 02/02",-300.00,ACCT_XFER,1357.74,,
DEBIT,02/02/2026,"Online Transfer to  CHK ...0068 transaction#: 27718595182 02/02",-350.00,ACCT_XFER,1657.74,,
DEBIT,02/02/2026,"CLOUDFLARE CLOUDFLARE.CO CA                  02/02",-25.00,DEBIT_CARD,2007.74,,
DEBIT,02/02/2026,"GOOGLE *ADS914840996 cc@google.com CA        02/01",-13.59,DEBIT_CARD,2032.74,,
DEBIT,02/02/2026,"Google ADS2700665497 650-2530000 CA          02/01",-8.95,DEBIT_CARD,2046.33,,
DEBIT,02/02/2026,"GOOGLE *CLOUD HX8FwK g.co/helppay# CA        02/01",-1.11,DEBIT_CARD,2055.28,,
DEBIT,02/02/2026,"GOOGLE *Workspace_ku cc@google.com CA        02/01",-37.18,DEBIT_CARD,2056.39,,
